place1,place2,rel1,rel2,eql_num,query_num,familiarity,role
H79,K13,3,1,0,2,unfamiliar,stf
H79,K32,2,2,0,2,unfamiliar,stf
K13,Elevator,0,3,0,2,unfamiliar,stf
K13,K32,0,2,0,2,unfamiliar,stf
H38,H79,4,0,1,2,unfamiliar,stf
H38,WC-K,0,1,0,2,unfamiliar,stf
K32,WC-K,0,1,0,2,unfamiliar,stf
WC-K,J10,1,0,0,2,unfamiliar,stf
K13,WC-J,0,1,0,2,unfamiliar,stf
WC-K,K13,1,0,0,2,unfamiliar,stf
WC-K,L40,1,0,0,2,unfamiliar,stf
WC-K,WC-L,0,1,0,2,unfamiliar,stf
K13,WC-L,2,2,0,2,unfamiliar,stf
WC-J,WC-H,1,1,0,2,unfamiliar,stf
H79,H92,1,0,0,2,unfamiliar,stf
K32,H92,1,0,0,2,unfamiliar,stf
H38,L12,1,0,0,2,unfamiliar,stf
H92,L12,1,0,0,2,unfamiliar,stf
H38,Elevator,0,3,0,2,unfamiliar,stf
Elevator,L12,1,1,0,2,unfamiliar,stf
L12,K13,1,1,0,2,unfamiliar,stf
L12,WC-H,0,1,0,2,unfamiliar,stf
WC-H,Elevator,0,1,0,2,unfamiliar,stf
L40,WC-J,0,1,0,2,familiar,stu
L40,J10,1,3,0,2,familiar,stu
L40,K32,0,3,0,2,familiar,stu
L40,L11,1,3,0,2,familiar,stu
L40,H38,0,1,0,2,familiar,stu
WC-J,J10,4,11,0,2,familiar,stu
WC-J,K32,0,14,0,2,familiar,stu
WC-J,L11,5,2,0,2,familiar,stu
WC-J,H38,1,7,0,2,familiar,stu
J10,K32,10,6,2,2,familiar,stu
J10,L11,9,1,0,2,familiar,stu
J10,H38,5,5,0,2,familiar,stu
K32,L11,6,2,1,2,familiar,stu
K32,H38,5,3,1,2,familiar,stu
L11,H38,1,5,0,2,familiar,stu
WC-J,L12,0,3,0,2,familiar,stu
WC-J,K13,0,3,0,2,familiar,stu
K32,L12,6,0,0,2,familiar,stu
K32,K13,2,1,0,2,familiar,stu
L12,L11,1,2,0,2,familiar,stu
L12,K13,0,0,1,2,familiar,stu
L12,J10,0,5,1,2,familiar,stu
L11,K13,0,1,0,2,familiar,stu
K13,J10,0,4,0,2,familiar,stu
L11,H92,1,2,0,2,familiar,stu
J10,H92,8,1,0,2,familiar,stu
WC-J,H92,2,5,1,2,familiar,stu
H38,H92,1,1,2,2,familiar,stu
H92,K32,0,6,1,2,familiar,stu
WC-K,J10,0,5,0,2,familiar,stu
WC-K,L12,2,1,0,2,familiar,stu
WC-K,WC-H,1,1,1,2,familiar,stu
WC-K,K32,1,6,0,2,familiar,stu
WC-K,Elevator,1,3,1,2,familiar,stu
J10,WC-H,4,2,1,2,familiar,stu
J10,Elevator,4,2,0,2,familiar,stu
L12,WC-H,0,0,1,2,familiar,stu
L12,Elevator,3,2,0,2,familiar,stu
WC-H,K32,2,3,0,2,familiar,stu
WC-H,Elevator,1,1,0,2,familiar,stu
K32,Elevator,4,2,0,2,familiar,stu
WC-L,Elevator,0,2,0,2,familiar,stu
WC-L,L40,2,0,0,2,familiar,stu
WC-L,L12,2,0,0,2,familiar,stu
WC-L,K32,0,2,0,2,familiar,stu
WC-L,WC-K,0,2,0,2,familiar,stu
Elevator,L40,4,0,0,2,familiar,stu
L40,L12,0,2,1,2,familiar,stu
L40,WC-K,0,1,0,2,familiar,stu
WC-K,WC-J,0,4,0,2,familiar,stu
Elevator,WC-J,2,0,0,2,familiar,stu
L11,WC-K,1,0,0,2,familiar,stu
L11,Elevator,1,3,0,2,familiar,stu
WC-K,H38,1,2,0,2,familiar,stu
H38,Elevator,1,1,0,2,familiar,stu
L11,H79,0,4,0,2,familiar,stu
H79,J10,3,9,0,2,familiar,stu
H79,H38,2,2,2,2,familiar,stu
H79,H92,3,1,4,2,familiar,stu
H79,K32,1,7,1,2,familiar,stu
WC-K,H79,0,1,0,2,familiar,stu
H79,Elevator,0,2,0,2,familiar,stu
J10,WC-L,2,0,0,2,familiar,stu
WC-H,WC-L,1,0,0,2,familiar,stu
WC-H,WC-J,4,1,0,2,familiar,stu
WC-L,WC-J,0,1,0,2,familiar,stu
WC-J,H79,1,6,1,2,familiar,stu
H92,WC-H,0,2,0,2,familiar,stu
WC-H,H79,2,1,0,2,familiar,stu
L12,H92,1,0,0,2,familiar,stu
L12,H79,1,0,0,2,familiar,stu
K13,H79,2,1,0,2,familiar,stu
K13,H92,0,2,0,2,familiar,stu
L11,WC-H,0,1,1,2,familiar,stu
L40,H79,0,1,0,2,familiar,stu
L40,WC-H,0,1,0,2,familiar,stu
H38,WC-H,2,1,0,2,familiar,stu
WC-L,L11,1,0,0,2,familiar,stu
K13,H38,2,0,0,2,familiar,stu
Elevator,WC-J,1,0,0,2,familiar,stu
Elevator,J10,1,1,0,2,familiar,stu
Elevator,K32,1,1,0,2,familiar,stu
Elevator,H92,0,1,0,2,familiar,stu
Elevator,H79,1,1,0,2,familiar,stu
K13,Elevator,0,1,0,2,familiar,stu
H38,Elevator,0,1,0,2,familiar,stu
L40,WC-J,0,1,0,2,unfamiliar,stu
L40,J10,1,2,1,2,unfamiliar,stu
L40,K32,0,2,1,2,unfamiliar,stu
L40,L11,1,3,0,2,unfamiliar,stu
L40,H38,0,1,0,2,unfamiliar,stu
WC-J,J10,9,6,0,2,unfamiliar,stu
WC-J,K32,3,11,0,2,unfamiliar,stu
WC-J,L11,6,1,0,2,unfamiliar,stu
WC-J,H38,4,4,0,2,unfamiliar,stu
J10,K32,3,15,0,2,unfamiliar,stu
J10,L11,8,2,0,2,unfamiliar,stu
J10,H38,2,8,0,2,unfamiliar,stu
K32,L11,6,2,1,2,unfamiliar,stu
K32,H38,4,5,0,2,unfamiliar,stu
L11,H38,0,6,0,2,unfamiliar,stu
WC-J,L12,1,2,0,2,unfamiliar,stu
WC-J,K13,0,3,0,2,unfamiliar,stu
K32,L12,4,2,0,2,unfamiliar,stu
K32,K13,2,1,0,2,unfamiliar,stu
L12,L11,1,2,0,2,unfamiliar,stu
L12,K13,0,1,0,2,unfamiliar,stu
L12,J10,2,1,3,2,unfamiliar,stu
L11,K13,0,1,0,2,unfamiliar,stu
K13,J10,2,2,0,2,unfamiliar,stu
L11,H92,0,3,0,2,unfamiliar,stu
J10,H92,4,4,1,2,unfamiliar,stu
WC-J,H92,3,4,1,2,unfamiliar,stu
H38,H92,2,0,2,2,unfamiliar,stu
H92,K32,3,4,0,2,unfamiliar,stu
WC-K,J10,5,0,0,2,unfamiliar,stu
WC-K,L12,2,0,1,2,unfamiliar,stu
WC-K,WC-H,1,1,1,2,unfamiliar,stu
WC-K,K32,2,5,0,2,unfamiliar,stu
WC-K,Elevator,1,4,0,2,unfamiliar,stu
J10,WC-H,0,6,1,2,unfamiliar,stu
J10,Elevator,0,6,0,2,unfamiliar,stu
L12,WC-H,0,1,0,2,unfamiliar,stu
L12,Elevator,0,5,0,2,unfamiliar,stu
