PID,gender,age,SOD,role,staying,floor,office_number,pair,place1,place2,place4familiar,place4unfamiliar,familiar,unfamiliar,vis_diff,str_diff,sem_diff,sign_diff,fre_diff,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
STU08,male,23,85,master,39, , , ,H79,K32,K32,K32,-1,-1,-1.220953333,1.72385,-1.55689,-1.35873,-.96825,0,-1.82574,-1.83712,1.82574,1.63501,1.7108,-.57104,-2.54274, ,-1.35873,-.96825
STU08,male,23,85,master,39, , , ,J10,H38,J10,H38,1,-1,.915396667,0,.508545,1.35873,1.93649,.91287,.60858,1.22474,0,0,0,0,1.01709, ,1.35873,1.93649
STU08,male,23,85,master,39, , , ,J10,H92,J10,H92,1,-1,.406983333,.323446667,.794065,1.35873,1.93649,0,.60858,.61237,1.82574,0,-.8554,.57104,1.01709, ,1.35873,1.93649
STU08,male,23,85,master,39, , , ,J10,K32,K32,K32,-1,-1,.30429,1.438716667,-.79407,-.67937,.96824,.91287,0,0,1.82574,1.63501,.8554,-.57104,-1.0171, ,-.67937,.96824
STU08,male,23,85,master,39, , , ,H38,H92, , , , ,-.508413333,.323446667,.28552,0,0,-.91287,0,-.61237,1.82574,0,-.8554,.57104,0, ,0,0
STU08,male,23,85,master,39, , , ,H38,K32,K32,H38,-1,1,-.611106667,1.438716667,-1.302615,-2.0381,-.96825,0,-.60858,-1.22474,1.82574,1.63501,.8554,-.57104,-2.03419, ,-2.0381,-.96825
STU08,male,23,85,master,39, , , ,H92,K32,K32,H92,-1,1,-.102693333,1.11527,-1.588135,-2.0381,-.96825,.91287,-.60858,-.61237,0,1.63501,1.7108,-1.14208,-2.03419, ,-2.0381,-.96825
STU09,female,27,59,master,52, , , ,WC-K,J10,J10,WC-K,-1,1,.63103,-.33903,.829983333,2.27184,-1.24838,.73192,1.74176,-.58059,0,-1.01709,0,.66421,1.82574,0,2.27184,-1.24838
STU09,female,27,59,master,52, , , ,WC-K,H79,H79,H79,-1,-1,.63103,1.778483333,1.902443333,1.13592,0,.73192,1.74176,-.58059,2.03419,1.0171,2.28416,2.65684,1.82574,1.22475,1.13592,0
STU09,female,27,59,master,52, , , ,WC-K,H38,H38,H38,-1,-1,0,-.529376667,1.459636667,1.70388,-.62419,0,1.16117,-1.16117,0,-1.01709,-.57104,1.32842,1.82574,1.22475,1.70388,-.62419
STU09,female,27,59,master,52, , , ,WC-K,K32,K32,K32,-1,-1,-.87501,-.508546667,-.408246667,0,0,-1.46386,0,-1.16117,0,-1.52564,0,0,0,-1.22474,0,0
STU09,female,27,59,master,52, , , ,WC-K,Elevator2ME, ,Elevator, ,-1,-1.649123333,-.65723,.629653333,0,-2.49675,-1.46386,-.58058,-2.90293,-1.01709,-1.52564,.57104,.66421,0,1.22475,0,-2.49675
STU09,female,27,59,master,52, , , ,J10,H79,J10,H79,1,-1,0,2.117513333,1.07246,-1.13592,1.24838,0,0,0,2.03419,2.03419,2.28416,1.99263,0,1.22475,-1.13592,1.24838
STU09,female,27,59,master,52, , , ,J10,H38,J10,H38,1,-1,-.63103,-.190346667,.629653333,-.56796,.62419,-.73192,-.58059,-.58058,0,0,-.57104,.66421,0,1.22475,-.56796,.62419
STU09,female,27,59,master,52, , , ,J10,K32,K32,K32,-1,-1,-1.50604,-.169516667,-1.23823,-2.27184,1.24838,-2.19578,-1.74176,-.58058,0,-.50855,0,-.66421,-1.82574,-1.22474,-2.27184,1.24838
STU09,female,27,59,master,52, , , ,J10,Elevator2ME,J10,Elevator,1,-1,-2.280153333,-.3182,-.20033,-2.27184,-1.24837,-2.19578,-2.32234,-2.32234,-1.01709,-.50855,.57104,0,-1.82574,1.22475,-2.27184,-1.24837
STU09,female,27,59,master,52, , , ,H79,H38, ,H38, ,-1,-.63103,-2.30786,-.442806667,.56796,-.62419,-.73192,-.58059,-.58058,-2.03419,-2.03419,-2.8552,-1.32842,0,0,.56796,-.62419
STU09,female,27,59,master,52, , , ,H79,K32,K32,K32,-1,-1,-1.50604,-2.28703,-2.31069,-1.13592,0,-2.19578,-1.74176,-.58058,-2.03419,-2.54274,-2.28416,-2.65684,-1.82574,-2.44949,-1.13592,0
STU09,female,27,59,master,52, , , ,H79,Elevator2ME,Elevator,Elevator,-1,-1,-2.280153333,-2.435713333,-1.27279,-1.13592,-2.49675,-2.19578,-2.32234,-2.32234,-3.05128,-2.54274,-1.71312,-1.99263,-1.82574,0,-1.13592,-2.49675
STU09,female,27,59,master,52, , , ,H38,K32,K32,K32,-1,-1,-.87501,.02083,-1.867883333,-1.70388,.62419,-1.46386,-1.16117,0,0,-.50855,.57104,-1.32842,-1.82574,-2.44949,-1.70388,.62419
STU09,female,27,59,master,52, , , ,H38,Elevator2ME,H38,Elevator,1,-1,-1.649123333,-.127853333,-.829983333,-1.70388,-1.87256,-1.46386,-1.74175,-1.74176,-1.01709,-.50855,1.14208,-.66421,-1.82574,0,-1.70388,-1.87256
STU09,female,27,59,master,52, , , ,K32,Elevator2ME,K32,Elevator,1,-1,-.774113333,-.148683333,1.0379,0,-2.49675,0,-.58058,-1.74176,-1.01709,0,.57104,.66421,0,2.44949,0,-2.49675
STU10,female,25,62,master,14, , , ,J10,WC-K,J10,WC-K,1,-1,.948563333,-1.63246,0,-2.44949,0,-2.44949,2.39045,2.90473, ,-1.32843,-1.93649,0,0,0,-2.44949,0
STU10,female,25,62,master,14, , , ,J10,WC-H,J10,WC-H,1,-1,1.442313333,-1.63246,.645496667,-2.44949,0,0,2.39045,1.93649, ,-1.32843,-1.93649,0,0,1.93649,-2.44949,0
STU10,female,25,62,master,14, , , ,J10,K32,J10,K32,1,-1,.721156667,-1.328425,.43758,-2.44949,1.93649,0,1.19523,.96824, ,-2.65685,0,1.82574,-2.44949,1.93649,-2.44949,1.93649
STU10,female,25,62,master,14, , , ,J10,WC-L,J10,WC-L,1,-1,1.442313333,-.664215,1.254076667,-2.44949,1.93649,0,2.39045,1.93649, ,-1.32843,0,1.82574,0,1.93649,-2.44949,1.93649
