PID,gender,age,SOD,role,staying,floor,office_number,pair,place1,place2,place4familiar,place4unfamiliar,familiar,unfamiliar,vis_diff_1,str_diff_1,sem_diff_1,sign_diff_1,fre_diff_1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
FS024,male,31,74,scientific staff,125,K,64, ,K32,WC-K,WC-K,WC-K,-1,-1,-2.024713333,-.790176667,-.206246667,-.59762,-2.47717,-2.33975,-1.74176,-1.99263,0,-1.59787,-.77266,-1.32842,2.0381,-1.32842,-.59762,-2.47717
FS024,male,31,74,scientific staff,125,K,64, ,K32,J10,K32,J10,1,-1,-1.647326667,-1.711943333,.89572,.59761,0,-1.8718,-1.74176,-1.32842,-1.99263,-1.59787,-1.54533,1.32843,1.35873,0,.59761,0
FS024,male,31,74,scientific staff,125,K,64, ,K32,H79,K32,H79,1,-1,-.155983333,.261936667,1.122176667,1.79284,0,-.46795,0,0,0,.39947,.38634,0,2.0381,1.32843,1.79284,0
FS024,male,31,74,scientific staff,125,K,64, ,L11,WC-K,L11,L11,1,1,-1.519216667,1.1837,.45291,-.59762,-1.65145,-1.40385,-1.16117,-1.99263,1.99263,.39947,1.159,0,1.35873,0,-.59762,-1.65145
FS024,male,31,74,scientific staff,125,K,64, ,L11,J10,L11,L11,1,1,-1.14183,.261933333,1.554876667,.59761,.82572,-.9359,-1.16117,-1.32842,0,.39947,.38633,2.65685,.67936,1.32842,.59761,.82572
FS024,male,31,74,scientific staff,125,K,64, ,L11,H79,L11,L11,1,1,.349513333,2.235813333,1.781333333,1.79284,.82572,.46795,.58059,0,1.99263,2.39681,2.318,1.32842,1.35873,2.65685,1.79284,.82572
FS024,male,31,74,scientific staff,125,K,64, ,WC-K,J10,WC-K,WC-K,1,1,.377386667,-.921766667,1.101966667,1.19523,2.47717,.46795,0,.66421,-1.99263,0,-.77267,2.65685,-.67937,1.32842,1.19523,2.47717
FS024,male,31,74,scientific staff,125,K,64, ,WC-K,H79,WC-K,WC-K,1,1,1.86873,1.052113333,1.328423333,2.39046,2.47717,1.8718,1.74176,1.99263,0,1.99734,1.159,1.32842,0,2.65685,2.39046,2.47717
FS024,male,31,74,scientific staff,125,K,64, ,J10,H79,J10,J10,1,1,1.491343333,1.97388,.226456667,1.19523,0,1.40385,1.74176,1.32842,1.99263,1.99734,1.93167,-1.32843,.67937,1.32843,1.19523,0
FS025,male,35,46,scientific staff,42,J,80, ,L11,L40,L11, ,1, ,.950133333,1.969816667,2.266076667,.46126,1.77705,.8554,.96449,1.03051,2.28416,1.6657,1.95959,2.2213,2.54274,2.03419,.46126,1.77705
FS025,male,35,46,scientific staff,42,J,80, ,L11,K13,L11,K13,1,-1,0,-.13881,.169516667,-.92253,1.33279,0,0,0,0,-.41643,0,0,.50855,0,-.92253,1.33279
FS025,male,35,46,scientific staff,42,J,80, ,L11,J10,L11,J10,1,-1,.13156,.277616667,.995663333,0,1.33279,.4277,.48224,-.51526,0,.83285,0,.44426,1.52564,1.01709,0,1.33279
FS025,male,35,46,scientific staff,42,J,80, ,L11,WC-J,WC-J,WC-J,-1,-1,-1.56776,-.631266667,-.14809,-1.84506,-.88852,-1.71079,-1.44673,-1.54576,-.57104,-.83286,-.4899,-.44427,.50855,-.50855,-1.84506,-.88852
FS025,male,35,46,scientific staff,42,J,80, ,L11,Elevator,Elevator,Elevator,-1,-1,-1.425196667,-.413873333,-.317606667,-1.84506,.88853,-1.2831,-1.44673,-1.54576,.57104,-.83286,-.9798,-.44427,0,-.50855,-1.84506,.88853
FS025,male,35,46,scientific staff,42,J,80, ,L40,K13,K13,K13,-1,-1,-.950133333,-2.108626667,-2.09656,-1.38379,-.44426,-.8554,-.96449,-1.03051,-2.28416,-2.08213,-1.95959,-2.2213,-2.03419,-2.03419,-1.38379,-.44426
FS025,male,35,46,scientific staff,42,J,80, ,L40,J10,J10,J10,-1,-1,-.818573333,-1.6922,-1.270413333,-.46126,-.44426,-.4277,-.48225,-1.54577,-2.28416,-.83285,-1.95959,-1.77704,-1.0171,-1.0171,-.46126,-.44426
FS025,male,35,46,scientific staff,42,J,80, ,L40,WC-J,WC-J,WC-J,-1,-1,-2.517893333,-2.601083333,-2.414166667,-2.30632,-2.66557,-2.56619,-2.41122,-2.57627,-2.8552,-2.49856,-2.44949,-2.66557,-2.03419,-2.54274,-2.30632,-2.66557
FS025,male,35,46,scientific staff,42,J,80, ,L40,Elevator,L40,Elevator,1,-1,-2.37533,-2.38369,-2.583683333,-2.30632,-.88852,-2.1385,-2.41122,-2.57627,-1.71312,-2.49856,-2.93939,-2.66557,-2.54274,-2.54274,-2.30632,-.88852
FS025,male,35,46,scientific staff,42,J,80, ,K13,J10,K13,K13,1,1,.13156,.416426667,.826146667,.92253,0,.4277,.48224,-.51526,0,1.24928,0,.44426,1.01709,1.01709,.92253,0
FS025,male,35,46,scientific staff,42,J,80, ,K13,WC-J,WC-J,WC-J,-1,-1,-1.56776,-.492456667,-.317606667,-.92253,-2.22131,-1.71079,-1.44673,-1.54576,-.57104,-.41643,-.4899,-.44427,0,-.50855,-.92253,-2.22131
